what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.js.node,1.0.0.v201608102114,"org.eclipse.wst.jsdt.js.node",1489451945536
started,bundle,org.eclipse.wst.jsdt.js.npm,1.0.0.v201607180823,"org.eclipse.wst.jsdt.js.npm",1489451945549
started,bundle,org.eclipse.jdt.debug,3.10.1.v20160811-0441,"org.eclipse.jdt.debug",1489451945723
started,bundle,org.eclipse.jdt.debug.ui,3.7.201.v20160811-0450,"org.eclipse.jdt.debug.ui",1489451945865
started,bundle,org.eclipse.wst.jsdt.chromium.debug.core,0.5.0.v201608251013,"org.eclipse.wst.jsdt.chromium.debug.core",1489451945972
executed,command,org.eclipse.jdt.junit,3.9.0.v20160421-1701,"org.eclipse.jdt.junit.junitShortcut.run",1489451947087
started,bundle,org.eclipse.m2e.launching,1.7.0.20160603-1933,"org.eclipse.m2e.launching",1489451947476
opened,view,org.eclipse.jdt.junit,3.9.0.v20160421-1701,"org.eclipse.jdt.junit.ResultView",1489451947783
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1489451960508
activated,view,org.eclipse.jdt.junit,3.9.0.v20160421-1701,"org.eclipse.jdt.junit.ResultView",1489451964669
executed,command,org.eclipse.jdt.junit,3.9.0.v20160421-1701,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1489451964745
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1489451968212
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.file.save",1489451971471
activated,view,org.eclipse.jdt.junit,3.9.0.v20160421-1701,"org.eclipse.jdt.junit.ResultView",1489451973343
executed,command,org.eclipse.jdt.junit,3.9.0.v20160421-1701,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1489451973425
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1489451987543
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.text.contentAssist.proposals",1489451990602
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1489452137441
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.copy",1489452147476
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489452148254
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489452386686
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1489452395219
closed,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1489452395261
activated,view,org.eclipse.jdt.junit,3.9.0.v20160421-1701,"org.eclipse.jdt.junit.ResultView",1489452396461
closed,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1489452396563
activated,view,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.PackageExplorer",1489452397272
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489452401801
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489452629152
started,bundle,org.eclipse.mylyn.context.ui,3.21.0.v20160701-1337,"org.eclipse.mylyn.context.ui",1489452633228
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489452636680
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489452640343
opened,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1489452640626
activated,editor,org.eclipse.jdt.ui,3.12.2.v20160929-0804,"org.eclipse.jdt.ui.CompilationUnitEditor",1489452640950
